钱柜,秦州区步行街,8299900
金粉世佳量贩KTV,麦积区二马路东佳苑农业银行旁B1楼,2621269
英皇假日俱乐部,秦州区中心广场北侧天辰大酒店5-6楼,8390888
弘浩灯光音响,麦积区三马路锻压厂对面,2726024
钱柜,620523,康庄路邮政局2楼,5628555
九分贝,麦积区华龙大酒店左侧(最早小辣椒火锅位置),2738555
凤凰城KTV,秦州区解放路1号穆斯林大厦2层,8235666
缤纷嘉年华娱乐会所,麦积区前进路,2088888
滚石新天地KTV,秦州区富凯大厦附近,3669996
金巴黎夜总会,麦积区龙园斜对面,2737599
麦朝娱乐会所,620522,成纪大道,6518080
九天国际娱乐会所,秦州区成级大道绿色市场嘉乐广场B座2楼,8529999
帝豪视听歌城,秦州区成纪大道,8290753
范特西量贩主题KTV,秦州区青年南路,8281899
Happy欢唱汇音乐火吧(天河店),秦州区七里墩天宝家居1楼1号商铺,8235128
华都国际娱乐会所,秦州区民主东路78号南边,8230888
月牙儿娱乐城,麦积区工商局附近,13919641581
火吧6号店,秦州区成纪大道,8235400
皇家1号,麦积区兴陇路天泽宾馆东50米巷内,2888288
九朝欢乐吧,麦积区一马路,2622222
魔方火吧,秦州区石马坪大众南路75号,15193832228
世纪皇宫,秦州区迎宾路5号,8615588
豪门大家乐量贩KTV(天水店),秦州区天水百货大楼,8283111
滚石新天地KTV,秦州区解放路世纪金花3楼,3669996
酷开夜话音乐休闲吧,麦积区陇昌路西河苑小区5号商铺,15293838103
惜遇艾菲堡,麦积区三马路渭河风情线,13619384802
瑞火吧,620522,207省道,6521000
星期八音乐餐厅,麦积区天河南路中段,2729222
